model_id,trained_using,trained_on
10000,Lunges_Deepak-01,2022-10-20 08:14:59.825914
10001,Lunges_Deepak-01,2022-10-20 08:26:58.903181
10002,Lunges_Deepak-01,2022-10-20 08:31:18.950298
10003,Lunges_Deepak-01,2022-10-20 08:35:37.595555
10004,Lunges_Deepak-02,2022-10-20 08:39:56.374791
10005,Lunges_Deepak-02,2022-10-20 08:44:12.974364
10006,Lunges_Deepak-02,2022-10-20 08:48:27.703069
10007,Lunge_Khushal-03,2022-10-20 08:52:27.930488
10008,Lunge_Khushal-03,2022-10-20 08:56:26.935939
10009,Lunge_Khushal-03,2022-10-20 09:00:26.806053
10010,Lunge_Khushal-02,2022-10-20 09:04:44.036449
10011,Lunge_Khushal-02,2022-10-20 09:09:01.904370
10012,Lunge_Khushal-02,2022-10-20 09:13:19.983127
10013,Lunge_Khushal-01,2022-10-20 09:17:52.139068
10014,Lunge_Khushal-01,2022-10-20 09:22:18.025706
10015,Lunge_Khushal-01,2022-10-20 09:26:40.165512
