penalized_svm,0.7375,0.5321637426900585,0.749122807017544,[[56 12]
 [ 9  3]]
SVM,0.7875,0.49234789100410603,0.7633072041806644,[[62  6]
 [11  1]]
smote SVM,0.7875,0.4405594405594405,0.7489510489510489,[[63  5]
 [12  0]]
lda_classifier,0.825,0.6310935441370223,0.8183135704874835,[[62  6]
 [ 8  4]]
smote lda_classifier,0.6875,0.47354566991313507,0.7084759147143985,[[53 15]
 [10  2]]
knn_classifier,0.8375,0.45578231292517,0.774829931972789,[[67  1]
 [12  0]]
smote knn_classifier,0.55,0.4357366771159875,0.6134796238244514,[[40 28]
 [ 8  4]]
